section,statement_id,summarized_statement,claim_id,evidence_path,upstream_repository,upstream_commit,owner,status,limitation
5.2,RPT-011,"QRS LIF membrane/leak/refractory",CLM-003,components/digital_accelerator/rtl/core/qrs_lif_detector.v,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,SAFE,"not clinically validated QRS detector"
5.2,RPT-012,"RR hypothesis predictor match/mismatch",CLM-003,components/digital_accelerator/rtl/core/pnn_rhythm_predictor.v,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,SAFE,"not probabilistic neural network claim"
5.2,RPT-013,"RR difference threshold-bank evidence",CLM-003,components/digital_accelerator/rtl/core/rdm_variability_neuron.v,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,SAFE,"hardware proxy; not standard HRV metric"
5.3,RPT-014,"Slope/sign-flip morphology evidence",CLM-003,components/digital_accelerator/rtl/core/dscr_spike_counter.v,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,SAFE,"morphology proxy"
5.3,RPT-015,"R-peak amplitude threshold-bank evidence",CLM-003,components/digital_accelerator/rtl/core/ram_peak_accumulator.v,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,SAFE,"lead/database amplitude sensitivity possible"
5.2,RPT-016,"Early/late ectopic-like pair evidence",CLM-003,components/digital_accelerator/rtl/core/ectopic_pair_neuron.v,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,SAFE,"not clinical ectopic annotation"
5.3,RPT-017,"QRS morphology proxy evidence",CLM-003,components/digital_accelerator/rtl/core/qrs_maf_neuron.v,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,SAFE,"not clinical QRS measurement"
5.3,RPT-035,"RBBB-like delay proxy evidence",CLM-003,components/digital_accelerator/rtl/core/rbbb_qrs_delay_bank.v,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,SAFE,"not clinical RBBB diagnosis"
5.4,RPT-018,"30-Snapshot Final Membrane and structural overlay",CLM-003,components/digital_accelerator/rtl/final_membrane_layer.v,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,SAFE,"locked candidate; literal params in vh file"
3.2,RPT-019,"MATLAB clipping 0 percent and headroom about 1.0196 V",CLM-015;CLM-024,components/matlab_prevalidation/matlab_afe_validation/results_dataset/afe_dynamic_range_headroom_summary.csv,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,서민우,CAREFUL,"four representative nominal records"
4.2,RPT-020,"Emulator-XMODEL mean RMS 1.95 LSB lag 0",CLM-014,components/afe_xmodel/docs/afe_stress/AFE_xmodel_verification.md,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,CAREFUL,"model-to-model; local max deviation remains"
6.2,RPT-021,"AFE inputs SHA256 36/36",CLM-012,components/afe_xmodel/docs/integration_latest/afe36_sha256_bitidentity.csv,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,SAFE,"byte identity only"
6.2,RPT-022,"Canonical gap=2 AFE-to-RTL pred and mem 36/36",CLM-013,components/afe_xmodel/docs/integration_latest/afe_locked_rtl_integration_36case_compare.csv,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,SAFE,"canonical cadence only; not accuracy"
4.2,RPT-036,"XMODEL 60 and 50 Hz PLI residuals",CLM-025,components/afe_xmodel/docs/afe_stress/AFE_xmodel_verification.md,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,CAREFUL,"60 Hz target; 50 Hz retuning not verified"
4.2,RPT-037,"XMODEL R/C mismatch CMRR",CLM-026,components/afe_xmodel/docs/afe_stress/AFE_xmodel_verification.md,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,CAREFUL,"no direct 30-minute mismatch final_pred sweep"
4.2,RPT-038,"ADC non-ideal representative final_pred 15/16",CLM-027,components/afe_xmodel/docs/afe_stress/adc_nonideal_finalpred_xsim.csv,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,CAREFUL,"one NSR change at 2 LSB rms noise; not universal invariance"
4.1,RPT-039,"Nominal AFE ADC parameter chain and code interface",CLM-028,components/matlab_prevalidation/matlab_afe_validation/docs/afe_adc_parameter_reference.md,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,서민우,CAREFUL,"model-defined parameters; not physical measurement"
4.1,RPT-040,"Active Twin-T dense-sweep attenuation bandwidth and estimated Q",CLM-029,components/matlab_prevalidation/matlab_afe_validation/results_dataset/notch_dense_sweep_metrics.csv,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,서민우,CAREFUL,"nominal nodal sweep; not measured physical Q"
4.2,RPT-041,"XMODEL design corrections for IA convergence loading LPF CMRR logging and active notch",CLM-030,components/afe_xmodel/docs/AFE_verification_report.md,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,CAREFUL,"model-based implementation history"
4.2,RPT-042,"XMODEL finite-GBW and VOS stress results",CLM-031,components/afe_xmodel/docs/afe_stress/AFE_xmodel_verification.md,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,CAREFUL,"behavioral dominant-pole and offset model"
4.2,RPT-043,"AFE-derived classifier chunks and full-record clipping audit",CLM-032,components/afe_xmodel/docs/afe_stress/clipping_report.csv,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,CAREFUL,"derived model streams; not physical ADC measurement"
4.2,RPT-044,"R-peak and RR timing preservation analysis",CLM-033,components/afe_xmodel/docs/afe_stress/rpeak_timing_test.csv,https://github.com/Hwan-22/ECG-SoC,4756a5086023547328ef44fd5fd87da3c250dc39,이수환,CAREFUL,"algorithmic matching on public digitized ECG"
4.1,RPT-045,"XMODEL-aligned LTspice graphical schematic and generated netlist are retained in the integrated validation package",CLM-034,validation/afe_ltspice_xmodel_aligned/schematics/xmodel_aligned/FULL_AFE_ADC_SH_xmodel_aligned.asc,TEAM_HANDOFF,INTEGRATED_LTSPICE_2026-07-19,이수환,SAFE,"schematic-level evidence only; not physical PCB transistor-level post-layout or silicon measurement"
4.1,RPT-046,"MATLAB fixed AFE chain overview figure",CLM-028,components/matlab_prevalidation/matlab_afe_validation/figures/fig_afe_chain_overview.png,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,서민우,CAREFUL,"nominal figure; not physical circuit"
4.1,RPT-047,"MATLAB fixed total frequency-response figure",CLM-028,components/matlab_prevalidation/matlab_afe_validation/figures/fig_total_frequency_response.png,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,서민우,CAREFUL,"ideal digital-notch zero is not analog attenuation"
4.1,RPT-048,"MATLAB fixed active Twin-T dense-sweep figure",CLM-029,components/matlab_prevalidation/matlab_afe_validation/figures/fig_notch_dense_sweep.png,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,서민우,CAREFUL,"nominal nodal sweep; not physical measurement"
3.2,RPT-049,"MATLAB fixed representative dynamic-range headroom figure",CLM-015;CLM-024,components/matlab_prevalidation/matlab_afe_validation/figures/fig_dynamic_range_headroom.png,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,서민우,CAREFUL,"four selected nominal records"
3.2,RPT-050,"MATLAB fixed representative ADC-code distribution figure",CLM-015,components/matlab_prevalidation/matlab_afe_validation/figures/fig_adc_code_distribution.png,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,서민우,CAREFUL,"offset-binary visualization; canonical replay is signed two's complement"
3.3,RPT-051,"MATLAB fixed reference-vector handoff figure",CLM-012;CLM-028,components/matlab_prevalidation/matlab_afe_validation/figures/fig_reference_vector_handoff.png,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,서민우,CAREFUL,"reference-generation flow; does not itself prove XMODEL equivalence"
3.1,RPT-052,"MATLAB fixed pre-validation project-flow figure",CLM-028,components/matlab_prevalidation/matlab_afe_validation/figures/fig_matlab_prevalidation_flow.png,https://github.com/ferocious-kiwi/ECG-SoC-MATLAB-AFE-ADC-Prevalidation,907f7e1f081a9d6a5703a32095d962143315a192,서민우,CAREFUL,"role diagram; not physical validation"
4.1,RPT-053,"Analog AFE ADC signal flow from differential ECG through signed RTL stream with four non-ideal model groups",CLM-028;CLM-034,figures/final/FIG-15_afe_adc_signal_flow.svg,INTEGRATED,INTEGRATED_CURATED,양건,CAREFUL,"input disturbance reaches both ECG nodes; R/C mismatch targets only IA and Twin-T; finite GBW covers active op-amp stages while VOS targets the IA input pair; ADC non-ideality enters once at the output-code boundary; not original schematic or physical circuit"
5.6,RPT-023,"Pure RTL 9719 LUT 5038 FF 0 BRAM 0 DSP WNS 8.184 ns",CLM-008;CLM-009,components/digital_accelerator/reports/final/final_metrics.json,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,SAFE,"device/tool specific; WNS not latency"
5.6,RPT-024,"MicroBlaze system 12494 LUT 8494 register 16 BRAM 3 DSP setup WNS 0.097 ns",CLM-010,components/digital_accelerator/reports/final/final_metrics.json,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,SAFE,"whole replay system scope"
6.2,RPT-025,"Board final_pred/final_mem 36/36 functional equivalence",CLM-011,components/digital_accelerator/reports/final/board_replay_36_batch_summary.json,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,SAFE,"not classification accuracy"
7.1,RPT-026,"Final-test chunk 29/36 80.56 percent macro F1 80.44 percent",CLM-004,components/digital_accelerator/reports/final/final_metrics.json,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,SAFE,"public-dataset engineering result"
7.1,RPT-027,"Record-majority 16/19 84.21 percent macro F1 80.80 percent",CLM-005,components/digital_accelerator/reports/final/final_metrics.json,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,SAFE,"same final-test partition aggregation"
6.1,RPT-028,"Nexys A7-100T benchmark imported from digital commit 46f90224 with 36-case measured board timing and post-route Vivado power estimates",CLM-018,docs/BENCHMARK_IMPORT_AUDIT_KR.md,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,46f90224fca0dea3a592049a5e14b97680d529e0,양건,CAREFUL,"hardware counters include UART-paced input wait; physical board input power remains unmeasured"
8.2,RPT-029,"No clinical diagnostic validity",CLM-019,source_of_truth/claim_registry.csv,INTEGRATED,INTEGRATED_CURATED,team,FORBIDDEN,"must remain a negated boundary only"
8.2,RPT-030,"No physical AFE ADC or fabricated SoC validation",CLM-020,source_of_truth/claim_registry.csv,INTEGRATED,INTEGRATED_CURATED,team,FORBIDDEN,"model-based analog evidence only"
2.2,RPT-031,"Fixed-version PhysioNet raw data are not bundled and are reconstructed by manifest/hash/fetch tools",,datasets/dataset_manifest.yaml,INTEGRATED,INTEGRATED_CURATED,양건,SAFE,"license and citation obligations remain; derived locked evidence is retained"
2.2,RPT-032,"Four dataset licenses and citations are explicitly registered",,datasets/DATASET_LICENSES.md,PhysioNet,1.0.0,양건,SAFE,"ODC-By 1.0 attribution and dataset-specific original citation"
5.1,RPT-033,"FIG-12 provides the digital processing flow from signed ECG through event and QRS detection rhythm and four parallel morphology evidence paths class scoring Snapshot and Final Membrane",CLM-023,figures/final/FIG-12_digital_processing_flow.svg,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,SAFE,"DSCR RAM QRS MAF and RBBB-like are parallel reader-facing evidence groups with no inter-block arrows; rhythm and morphology merge only at scoring; not literal post-synthesis connectivity"
5.5,RPT-034,"Pure RTL avoids complete 1800000-sample raw-window storage and updates fixed-size streaming state",CLM-023,tables/streaming_state_inventory.csv,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,SAFE,"2700000 decimal bytes is avoided raw-window comparison not exact runtime memory"
2.2,RPT-054,"The 30-minute Final Membrane is a common real-data evaluation window selected because the four public sources have unequal duration and MIT-BIH Arrhythmia provides half-hour excerpts",CLM-035,docs/DATASET_AND_EVALUATION_KR.md,INTEGRATED,INTEGRATED_CURATED,team,CAREFUL,"24-hour Holter is the design motivation; current 30-minute validation is not clinical duration equivalence"
2.1,RPT-055,"Amirshahi and Hashemi classify individual R-peak-centered heartbeats using amplitude spike encoding STDP feature learning and reward/punishment R-STDP",CLM-036,docs/RELATED_WORK_HOLTER_ECG_KR.md,https://doi.org/10.1109/TBCAS.2019.2948920,2019,team,CAREFUL,"individual heartbeat output; no long-record aggregation"
2.1,RPT-056,"Bauer et al. detect whether a pathological pattern is present in continuous ECG but do not assign a four-class disease label to the whole record",CLM-037,docs/RELATED_WORK_HOLTER_ECG_KR.md,https://doi.org/10.1109/TBCAS.2019.2953001,2019,team,CAREFUL,"continuous binary anomaly detection; not record-level NSR CHF ARR AF classification"
2.1,RPT-057,"Chen et al. use LC-ADC events and SCNN to classify individual MIT-BIH beats as N SVEB VEB or F rather than classifying a long record",CLM-038,docs/RELATED_WORK_HOLTER_ECG_KR.md,https://ieeexplore.ieee.org/document/9937756/,2022,team,CAREFUL,"simulation-based beat classification and compression; not long-record classification"
2.1,RPT-058,"Shanmugam et al. aggregate high-risk portions of mostly normal approximately 48-hour ECG into future patient-level cardiovascular-death risk",CLM-039,docs/RELATED_WORK_HOLTER_ECG_KR.md,https://proceedings.mlr.press/v106/shanmugam19a.html,2019,team,CAREFUL,"conceptually similar sparse-window aggregation but future binary prognosis rather than current record class"
2.1,RPT-059,"Zihlmann et al. classify 9-to-61-second ECG into four rhythm categories rather than searching hours-long recordings for intermittent disease windows",CLM-040,docs/RELATED_WORK_HOLTER_ECG_KR.md,https://doi.org/10.22489/CinC.2017.070-060,2017,team,CAREFUL,"short-record four-class question rather than long-record intermittent-window aggregation"
2.1,RPT-060,"DeepHHF uses the closest reviewed long-window flow by splitting 24-hour Holter ECG into 30-second windows and aggregating them with a Transformer for five-year HF risk",CLM-041,docs/RELATED_WORK_HOLTER_ECG_KR.md,https://doi.org/10.1038/s41746-026-02835-8,2026,team,CAREFUL,"structurally similar but predicts future HF risk instead of the current NSR CHF ARR AF record class"
2.1,RPT-061,"Project positioning is capture of intermittent disease-strong Snapshots followed by aggregation of evidence strength frequency repetition and persistence into record-level NSR CHF ARR AF classification",CLM-042,docs/RELATED_WORK_HOLTER_ECG_KR.md,INTEGRATED,INTEGRATED_CURATED,team,CAREFUL,"representative-review scope only; not world-first; current validation is 30 minutes and 24-hour performance is unverified"
6.1,RPT-062,"Single-thread Exact C++ kernel median latency is 1777.699800 ms over 360 measured runs",CLM-043,benchmarks/accelerator_benefit/reports/EXACT_CPP_PERFORMANCE_BENCHMARK.md,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,46f90224fca0dea3a592049a5e14b97680d529e0,양건,CAREFUL,"transaction-level single-thread CPU baseline; preloaded stored data"
6.1,RPT-063,"Measured FPGA core and system hardware-counter medians are both 187144.750920 ms with 9618.223280 samples per second",CLM-018;CLM-044,benchmarks/accelerator_benefit/results/board_timing_summary.json,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,46f90224fca0dea3a592049a5e14b97680d529e0,양건,CAREFUL,"counter intervals include UART-paced input wait; fixed XSA has no independent AXI Timer"
6.1,RPT-064,"Exact C++ divided by measured FPGA board-counter latency is 0.009499063x; the legacy 32.912687x ratio is no-stall cycle-derived",CLM-045,benchmarks/accelerator_benefit/results/integrated_benchmark_summary.csv,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,46f90224fca0dea3a592049a5e14b97680d529e0,양건,CAREFUL,"ratio below one is not acceleration; about 99.98 percent of the interval is UART-paced input wait"
6.1,RPT-065,"Post-route vectorless Vivado power is 0.099 W for Pure RTL and 0.271 W for the integrated system; derived energies are 18.527330341080 J and 50.716227499320 J",CLM-046,benchmarks/accelerator_benefit/results/power_energy_summary.csv,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,46f90224fca0dea3a592049a5e14b97680d529e0,양건,CAREFUL,"estimated on-chip power and derived energy; not physical board power or measured energy"
6.1,RPT-066,"Exact C++ timing is gated by 36/36 final predictions 144/144 final membranes and 1080/1080 Snapshot boundaries and hardware replay reconfirms 36/36 and 144/144",CLM-047,benchmarks/accelerator_benefit/results/board_timing_summary.json,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,46f90224fca0dea3a592049a5e14b97680d529e0,양건,SAFE,"functional equivalence gate; classification accuracy remains 29/36"
5.6,RPT-067,"FIG-P05 combines the actual Vivado post-route Device View with hierarchy-specific placed-primitive coordinates and retains Vivado-native MicroBlaze block-design and worst-setup-path PDF/SVG evidence",CLM-008;CLM-009;CLM-010,figures/publication/FIG-P05_vivado_implementation/evidence_paths.md,INTEGRATED,INTEGRATED_CURATED,양건,CAREFUL,"Hierarchy colors are coordinate overlays, not pblock boundaries; pure RTL and MicroBlaze system timing scopes remain separate; not ASIC layout"
2.1,RPT-068,"FIG-02 separates record-wise Train and Validation development data from Locked Test data; front-end verification precedes digital model and RTL development; Locked Test feeds only the one-time final test after Design Lock",CLM-007;CLM-012;CLM-013;CLM-028,figures/final/FIG-02_research_workflow.svg,INTEGRATED,INTEGRATED_CURATED,team,CAREFUL,"the No loop returns only to digital development; post-lock implementation and integration verify equivalence and do not permit model threshold or structural retuning"
8.1,RPT-069,"Historical commits c7c75cf and 5e2e5d0 are ancestors of fixed RTL c6b80de and document observation removal and functional verification of the class_score_neurons RDM-to-prediction timing bottleneck",CLM-048,docs/RTL_TIMING_OPTIMIZATION_HISTORY_KR.md,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,"c7c75cfebf7add12bfcc32bb59d5edf38ac6e5aa;5e2e5d0a46be47d8086b8642e055066079bfa4e6;c6b80de19cdcad5b7e43fe7835588b629d847f75",양건,CAREFUL,"historical OOC values are development evidence and are not mixed with final implementation metrics; 17.5k LUT is a pre-optimization hotspot scope"
8.1,RPT-070,"Dense CNN RNN or MLP hardware burdens are addressed by domain-specific fixed-width streaming state with final Pure RTL BRAM 0 and DSP 0 without claiming measured superiority over an unimplemented dense baseline",CLM-008;CLM-023,docs/DIGITAL_ARCHITECTURE_KR.md,INTEGRATED,INTEGRATED_CURATED,양건,CAREFUL,"no measured dense baseline sparse-event rate memory saving or power-reduction claim; 2.7 MB is avoided raw-window storage"
5.5,RPT-071,"FIG-RTL combines the actual Pure RTL top hierarchy and expanded u_snapshot named module hierarchy using handoff connectivity validated against Vivado RTL Elaborated Schematic exports",CLM-003,figures/final/FIG-RTL_top_with_snapshot_expansion.svg,https://github.com/Sheep-gun/SNN-ECG-4-Class-Classifier,c6b80de19cdcad5b7e43fe7835588b629d847f75,양건,CAREFUL,"reader-facing reconstruction from Vivado elaboration evidence; clock reset debug profile repetitive widths and nonessential labels omitted; not synthesized gate-level or post-route connectivity"
3.2,RPT-072,"MATLAB nominal response is cross-checked against the XMODEL-aligned LTspice schematic response and ADC output",CLM-049,validation/afe_ltspice_xmodel_aligned/tables/matlab_ltspice_comparison.csv,TEAM_HANDOFF,INTEGRATED_LTSPICE_2026-07-19,이수환,CAREFUL,"digital-reference and analog-solver implementations are compared for design-intent consistency rather than sample-wise bit exactness"
4.1,RPT-073,"Thirty-five LTspice nominal and stress runs completed with HPF IA notch LPF S/H ADC mapping and clipping evidence",CLM-049,validation/afe_ltspice_xmodel_aligned/tables/xmodel_aligned_execution_manifest.csv,TEAM_HANDOFF,INTEGRATED_LTSPICE_2026-07-19,이수환,CAREFUL,"schematic/model-level execution evidence; raw multi-gigabyte waveforms are excluded"
4.2,RPT-074,"The same ten-second ECG produces 10000 LTspice and XMODEL ADC codes with MAE 0.6445 LSB correlation 0.999518 best lag zero and zero clipping",CLM-050,validation/afe_ltspice_xmodel_aligned/tables/xmodel_ltspice_handoff_metrics.csv,TEAM_HANDOFF,INTEGRATED_LTSPICE_2026-07-19,이수환,CAREFUL,"representative nominal patient100 case; not sample-wise bit exact"
7.2,RPT-075,"LTspice-XMODEL code-error coverage is 98.74 percent within plus or minus 5 LSB and 99.89 percent within plus or minus 10 LSB",CLM-051,validation/afe_ltspice_xmodel_aligned/tables/xmodel_ltspice_handoff_metrics.csv,TEAM_HANDOFF,INTEGRATED_LTSPICE_2026-07-19,이수환,CAREFUL,"11 of 10000 samples exceed 10 LSB and maximum error is 13 LSB"
2.1,RPT-076,"The analog validation chain separates MATLAB nominal design LTspice schematic verification and XMODEL behavioral RTL handoff roles",CLM-052,docs/MIXED_SIGNAL_VERIFICATION_KR.md,INTEGRATED,INTEGRATED_CURATED,team,CAREFUL,"all three stages remain model-based and do not replace physical analog validation"
