case_id,class_label,class_id,source_record_id,chunk_id,mem_path,expected_final_pred,expected_final_pred_name,expected_final_mem_NSR,expected_final_mem_CHF,expected_final_mem_ARR,expected_final_mem_AFF,ground_truth_label,sample_count_expected,snapshot_count_expected,replay_status,source_prediction_case_id,prediction_correct,mem_sha256,expected_source_csv,expected_source_sha256
ARR_mitdb_105_chunk00,ARR,2,ARR_mitdb_105,0,fullrec_afe_30min_annotation_valid_balanced/val/ARR/105/105_30min_w000.mem,2,ARR,8,1,21,0,ARR,1800000,30,completed,37,1,85f3a1fc2f060a4b153c33a799df0a60ecc4d59b17d93a873cb689c174239b6c,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
ARR_mitdb_118_chunk00,ARR,2,ARR_mitdb_118,0,fullrec_afe_30min_annotation_valid_balanced/test/ARR/118/118_30min_w000.mem,2,ARR,7,1,21,1,ARR,1800000,30,completed,45,1,cbe8acf71a0193dd6d26425d3495d8d90523ecd8eb671af7cb7d444e5abe1f91,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
ARR_mitdb_202_chunk00,ARR,2,ARR_mitdb_202,0,fullrec_afe_30min_annotation_valid_balanced/test/ARR/202/202_30min_w000.mem,0,NSR,15,0,4,11,ARR,1800000,30,completed,49,0,f5c9160169aff6898b2a0220481b7086061df4fdd3a91b3364be96c9e4105413,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
ARR_mitdb_208_chunk00,ARR,2,ARR_mitdb_208,0,fullrec_afe_30min_annotation_valid_balanced/train/ARR/208/208_30min_w000.mem,2,ARR,1,0,20,9,ARR,1800000,30,completed,52,1,1a8bf1ad0ac97ebff7acdcaf23dbdf48d9c1afafe9252f0310557af2a90f1e43,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
ARR_mitdb_214_chunk00,ARR,2,ARR_mitdb_214,0,fullrec_afe_30min_annotation_valid_balanced/train/ARR/214/214_30min_w000.mem,2,ARR,0,0,30,0,ARR,1800000,30,completed,56,1,712de2a81e592b6672888b12e924c909294595197a410b1f0e4b0d9d4a729e31,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
ARR_mitdb_217_chunk00,ARR,2,ARR_mitdb_217,0,fullrec_afe_30min_annotation_valid_balanced/train/ARR/217/217_30min_w000.mem,2,ARR,0,0,30,0,ARR,1800000,30,completed,58,1,00742ba0e768403b9a248c22cdfc2e72cd16596ad06835339c7ee5d3c9317de9,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
ARR_mitdb_220_chunk00,ARR,2,ARR_mitdb_220,0,fullrec_afe_30min_annotation_valid_balanced/train/ARR/220/220_30min_w000.mem,0,NSR,27,0,3,0,ARR,1800000,30,completed,60,0,5c110d1f08e690e5cf545bf721bc81daa4fbc82f2b18b8a78825fffee279c461,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
ARR_mitdb_231_chunk00,ARR,2,ARR_mitdb_231,0,fullrec_afe_30min_annotation_valid_balanced/train/ARR/231/231_30min_w000.mem,2,ARR,6,0,24,0,ARR,1800000,30,completed,64,1,d76ab5823cc7d5496713d78186a6e22ba68c57d3386af5ea74484c090a9ea939,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
CHF_chfdb_chf06_chunk06,CHF,1,CHF_chfdb_chf06,6,fullrec_afe_30min_annotation_valid_balanced/train/CHF/chf06/chf06_30min_w006.mem,1,CHF,0,35,2,3,CHF,1800000,30,completed,83,1,a309866d9e85206b07b880de95ed53f8e07b2aa000a8a8b2310a944f1ad7a3a6,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
CHF_chfdb_chf06_chunk19,CHF,1,CHF_chfdb_chf06,19,fullrec_afe_30min_annotation_valid_balanced/val/CHF/chf06/chf06_30min_w019.mem,3,AFF,1,-3,10,32,CHF,1800000,30,completed,84,0,391daf86765abd24dfcbe1429b765422553f5320cc7adc8054fc6e63f5c94426,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
CHF_chfdb_chf06_chunk32,CHF,1,CHF_chfdb_chf06,32,fullrec_afe_30min_annotation_valid_balanced/test/CHF/chf06/chf06_30min_w032.mem,1,CHF,0,42,4,-6,CHF,1800000,30,completed,85,1,37a96f7d345869500f069ee3e579c1b731d09e55ca80d1c848e16407687f89a5,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
CHF_chfdb_chf07_chunk09,CHF,1,CHF_chfdb_chf07,9,fullrec_afe_30min_annotation_valid_balanced/train/CHF/chf07/chf07_30min_w009.mem,1,CHF,0,25,4,1,CHF,1800000,30,completed,86,1,66f80c09125492f7c2a2ec6d721b24174d017c93102b9282bf49ccdc1141949f,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
CHF_chfdb_chf07_chunk29,CHF,1,CHF_chfdb_chf07,29,fullrec_afe_30min_annotation_valid_balanced/test/CHF/chf07/chf07_30min_w029.mem,3,AFF,0,-3,9,34,CHF,1800000,30,completed,87,0,8b96d5a5f6f040cec7caa92b18b825fda2d687b36f357b07a60bb5848538534a,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
CHF_chfdb_chf09_chunk09,CHF,1,CHF_chfdb_chf09,9,fullrec_afe_30min_annotation_valid_balanced/train/CHF/chf09/chf09_30min_w009.mem,0,NSR,17,12,1,0,CHF,1800000,30,completed,90,0,f9c9c315d6b5e2eae6adb036b959b9c89b0a24b3dae559a573d89532377697c7,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
CHF_chfdb_chf09_chunk29,CHF,1,CHF_chfdb_chf09,29,fullrec_afe_30min_annotation_valid_balanced/test/CHF/chf09/chf09_30min_w029.mem,1,CHF,0,29,0,1,CHF,1800000,30,completed,91,1,5b5d89f8424f8778583799e97fc66456e0130c1d03f813770d34573e1387e4db,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
CHF_chfdb_chf15_chunk03,CHF,1,CHF_chfdb_chf15,3,fullrec_afe_30min_annotation_valid_balanced/train/CHF/chf15/chf15_30min_w003.mem,1,CHF,2,27,1,0,CHF,1800000,30,completed,100,1,0e2b422b4ba8bfc72a3c19c4d5deb48396f13bee39d87cd0a53fc34a4aa7468f,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
CHF_chfdb_chf15_chunk09,CHF,1,CHF_chfdb_chf15,9,fullrec_afe_30min_annotation_valid_balanced/test/CHF/chf15/chf15_30min_w009.mem,1,CHF,0,25,5,0,CHF,1800000,30,completed,101,1,aab031ac3e0065e6bf8844662f5a64ac3ce95a26700826ece1667f2ffbdce183,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
NSR_nsrdb_16272_chunk03,NSR,0,NSR_nsrdb_16272,3,fullrec_afe_30min_annotation_valid_balanced/train/NSR/16272/16272_30min_w003.mem,0,NSR,24,0,4,2,NSR,1800000,30,completed,104,1,fc626046541130cbe95cfb29bed597b8b52f55b706a40ddafb71105df4a43ecc,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
NSR_nsrdb_16272_chunk10,NSR,0,NSR_nsrdb_16272,10,fullrec_afe_30min_annotation_valid_balanced/val/NSR/16272/16272_30min_w010.mem,0,NSR,12,0,12,6,NSR,1800000,30,completed,105,1,4b4bba5b02c6b548fc7b6dc55897b0e51cbbc2f5c567b3e0a509f90915cd3b4b,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
NSR_nsrdb_16483_chunk10,NSR,0,NSR_nsrdb_16483,10,fullrec_afe_30min_annotation_valid_balanced/train/NSR/16483/16483_30min_w010.mem,0,NSR,30,0,0,0,NSR,1800000,30,completed,110,1,5565bf678225f3cecee412aaacb8ea5776e6b3d71714fb9962f2ee76fba56061,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
NSR_nsrdb_16483_chunk32,NSR,0,NSR_nsrdb_16483,32,fullrec_afe_30min_annotation_valid_balanced/val/NSR/16483/16483_30min_w032.mem,0,NSR,30,0,0,0,NSR,1800000,30,completed,111,1,35fa40c7400b2b7ce20bca6432f1d3d76b294c0648f6a9beba4b474b0c31c245,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
NSR_nsrdb_16786_chunk11,NSR,0,NSR_nsrdb_16786,11,fullrec_afe_30min_annotation_valid_balanced/train/NSR/16786/16786_30min_w011.mem,0,NSR,29,0,1,0,NSR,1800000,30,completed,116,1,094a1e3ff895f6617a3c13946bab4dfe1b3589cefcdf51675a5dbd579250e2f9,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
NSR_nsrdb_16786_chunk35,NSR,0,NSR_nsrdb_16786,35,fullrec_afe_30min_annotation_valid_balanced/test/NSR/16786/16786_30min_w035.mem,0,NSR,29,0,1,0,NSR,1800000,30,completed,117,1,1062b5c0c7059f6905120eb7f7306c9f3c53d025fc82b460944a2d35c687010f,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
NSR_nsrdb_19093_chunk10,NSR,0,NSR_nsrdb_19093,10,fullrec_afe_30min_annotation_valid_balanced/train/NSR/19093/19093_30min_w010.mem,0,NSR,30,0,0,0,NSR,1800000,30,completed,132,1,ced832e3e528697b6aeb17222b99529a70c09b797b463894dcc128feac57cba9,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
NSR_nsrdb_19093_chunk30,NSR,0,NSR_nsrdb_19093,30,fullrec_afe_30min_annotation_valid_balanced/test/NSR/19093/19093_30min_w030.mem,0,NSR,29,0,1,0,NSR,1800000,30,completed,133,1,4f54ef41df1a576a6aa48bcba61dcdbdf1e24d1d59ea919b9339d33a10cd2737,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
NSR_nsrdb_19140_chunk20,NSR,0,NSR_nsrdb_19140,20,fullrec_afe_30min_annotation_valid_balanced/train/NSR/19140/19140_30min_w020.mem,0,NSR,26,0,1,3,NSR,1800000,30,completed,134,1,6af06af53dd12e36d02a52bcc83545150e74c469a377a6707ce6b5440333553d,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
